FID,facilityid,inlettype,in_typ_ot,locdesc,ownedby,legacy_id,cvtype,cv_typ_ot,cvshape,cv_shp_ot,cvmaterial,cv_mat_ot,cvsize,oilhood,framemater,frm_mat_ot,chimney,chimydia,chimymater,chm_mat_ot,conetype,con_typ_ot,conemater,con_mat_ot,wallmat,wal_mat_ot,bench,benchmater,ben_mat_ot,channel,chanmater,chn_mat_ot,chanexposr,rimelev,inv_depth,invertelev,sump_depth,fin_depth,installdat,maintby,lastupdate,lasteditor,plans,comments,pt_geom_x_,pt_geom_y_,elevation,map_date,mapped_by,map_by_ot,map_method,map_met_ot,map_status,rotation,condition,flow,activeflag,enabled,operable,keyjnction,anclryrole,division,asset,st_cntr_id,Longitude,Latitude
1,swIN-415,Catchbasin, , ,1,cb-339, , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,0,0,1/1/70 0:00,1,9/20/12 0:00,akurowski, , ,755050.2,2973591.8, ,10/10/18 0:00,Town, ,Tablet, ,Final,-209.9103543, , ,0,1,1, ,0,HIGHWAY,Stormwater,1431,-71.13386208,42.40710489
2,swIN-416,Catchbasin, ,55 BROADWAY,1,cb-331, , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,2.2,0,4.3,6.5,1/1/70 0:00,1,9/20/12 0:00,akurowski, , ,754173.0997,2974139.2, ,9/26/18 0:00,Town, ,Tablet, ,Final,-211.1174287, , ,0,1,1, ,0,HIGHWAY,Stormwater,1434,-71.13710108,42.40861725
3,swIN-417,Double Catchbasin, ,75 BROADWAY,1,cb-323, , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,2.4,0,3.9,6.3,1/1/70 0:00,1,9/20/12 0:00,akurowski, , ,753843.2999,2974350.6, ,9/26/18 0:00,Town, ,Tablet, ,Final,-32.75270568, , ,0,1,1, ,0,HIGHWAY,Stormwater,1429,-71.13831893,42.40920117
4,swIN-418,Double Catchbasin, ,79 BROADWAY,1,cb-324, , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,3,0,4.5,7.5,1/1/70 0:00,1,9/20/12 0:00,akurowski, , ,753782.4998,2974390.4, ,9/26/18 0:00,Town, ,Tablet, ,Final,-31.48529291, , ,0,1,1, ,0,HIGHWAY,Stormwater,1428,-71.13854344,42.40931109
5,swIN-419,Catchbasin, ,16 GARDNER ST,1,cb-329, , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,3,0,4,7,1/1/70 0:00,1,9/20/12 0:00,akurowski, , ,754356.5,2974355.3, ,9/26/18 0:00,Town, ,Tablet, ,Final,50.33463574, , ,0,1,0, ,0,HIGHWAY,Stormwater,1377,-71.13641857,42.40920808
6,swIN-420,Catchbasin, ,16 GARDNER ST,1,cb-330, , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,3,0,2.5,5.5,1/1/70 0:00,1,9/20/12 0:00,akurowski, , ,754371.1,2974336.6, ,9/26/18 0:00,Town, ,Tablet, ,Final,50.33463574, , ,0,1,1, ,0,HIGHWAY,Stormwater,1377,-71.13636481,42.4091566
7,swIN-421,Catchbasin, ,127 BROADWAY,1,cb-381, , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,3.1,0,0.2,3.3,1/1/70 0:00,1,9/20/12 0:00,akurowski, , ,752851.2999,2974998.2, ,9/19/18 0:00,Town, ,Tablet, ,Final,-48.23252445, , ,0,1,0, ,0,HIGHWAY,Stormwater,1079,-71.14198205,42.41098967
8,swIN-422,Catchbasin, ,101 BROADWAY,1,cb-322, , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,4.2,0,2.6,6.8,1/1/70 0:00,1,9/20/12 0:00,akurowski, , ,753515,2974562.5, ,9/26/18 0:00,Town, ,Tablet, ,Final,-212.5658327, , ,0,1,1, ,0,HIGHWAY,Stormwater,1427,-71.13953125,42.40978644
9,swIN-423,Catchbasin, ,105 BROADWAY,1,cb-365, , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,2.1,0,2.9,5,1/1/70 0:00,1,9/20/12 0:00,akurowski, , ,753383.9999,2974647.3, ,10/10/18 0:00,Town, ,Tablet, ,Final,-32.56583269, , ,0,1,1, ,0,HIGHWAY,Stormwater,1427,-71.14001499,42.41002065
10,swIN-424,Catchbasin, ,0 BROADWAY,1,cb-409, , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,3,3,1/1/70 0:00,1,9/20/12 0:00,akurowski, , ,752767.2997,2975081.1, ,9/19/18 0:00,Town, ,Tablet, ,Final,-124.5528564, , ,0,1,0, ,0,HIGHWAY,Stormwater,1371,-71.14229181,42.41121812
11,swIN-425,Catchbasin, ,53 WARREN ST,1,cb-424, , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,2.3,0,0.8,3.1,1/1/70 0:00,1,9/20/12 0:00,akurowski, , ,752365.6998,2975573.6, ,9/18/18 0:00,Town, ,Tablet, ,Final,-227.600722, , ,0,1,1, ,0,HIGHWAY,Stormwater,1076,-71.14377128,42.41257415
12,swIN-426,Catchbasin, ,63 WARREN ST,1,cb-419, , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,2.8,0,2.5,5.3,1/1/70 0:00,1,9/20/12 0:00,akurowski, , ,752209.6998,2975739.5, ,9/18/18 0:00,Town, ,Tablet, ,Final,-47.60072197, , ,0,1,1, ,0,HIGHWAY,Stormwater,1076,-71.14434639,42.41303116
13,swIN-427,Catchbasin, ,2 RIVER ST,1,cb-417, , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,3.6,0,2,5.9,1/1/70 0:00,1,9/20/12 0:00,akurowski, , ,752687.6998,2975174.4, ,9/18/18 0:00,Town, ,Tablet, ,Final,-225.9256008, , ,0,1,0, ,0,HIGHWAY,Stormwater,1735,-71.14258511,42.41147505
14,swIN-428,Catchbasin, ,2 RIVER ST,1,cb-418, , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,2.3,0,4.9,7.2,1/1/70 0:00,1,9/20/12 0:00,akurowski, , ,752722.9999,2975187.8, ,9/18/18 0:00,Town, ,Tablet, ,Final,-225.9256008, , ,0,1,0, ,0,HIGHWAY,Stormwater,1735,-71.14245419,42.41151141
15,swIN-429,Drain Inlet (Vertical), ,47 WARREN ST,1,cb-423,Grate, ,Square, ,Cast Iron, , ,0,Brick, ,0, , , , , , , ,Brick, , , , , , , , , ,2.5,-2.5,0.5,2.5,1/1/70 0:00,1,12/23/20 0:00,"Caus, Ahmet", , ,752391.8999,2975545, ,9/18/18 0:00,Town, ,Tablet, ,Final,-138, , ,0,1,0, ,0,HIGHWAY,Stormwater,1077,-71.14367471,42.41249537
16,swIN-430,Catchbasin, ,66 WARREN ST,1,cb-420,Grate, ,Square, ,Cast Iron, , ,0,Brick, ,0, , , , , , , ,Brick, , , , , , , , , ,4.8,-3,2.2,7.6,1/1/70 0:00,1,12/23/20 0:00,"Caus, Ahmet", , ,752178.7999,2975722.8, ,9/18/18 0:00,Town, ,Tablet, ,Final,-138, , ,0,1,0, ,0,HIGHWAY,Stormwater,1076,-71.14446107,42.41298569
17,swIN-431,Catchbasin, ,52 WARREN ST,1,cb-421, , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,5,0,2,7.6,1/1/70 0:00,1,9/20/12 0:00,akurowski, , ,752345.5998,2975535.5, ,9/18/18 0:00,Town, ,Tablet, ,Final,55.30709528, , ,0,1,1, ,0,HIGHWAY,Stormwater,438,-71.1438463,42.41246983
18,swIN-432,Catchbasin, ,215 BROADWAY,1,cb-430, , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,3,0,5.1,8.1,1/1/70 0:00,1,9/20/12 0:00,akurowski, , ,751950.4,2975488.5, ,9/19/18 0:00,Town, ,Tablet, ,Final,-208.561835, , ,0,1,0, ,0,HIGHWAY,Stormwater,1692,-71.14531045,42.41234539
