OBJECTID,FEATURE_TY,SOURCE,TYPE,X_COORD,Y_COORD,EDITDATE,EDITBY,EDITWHY,BMPNOTES,StrucIDnum,PublicOwne,DudeID,Longitude,Latitude
"26",CBN,,CBN,738416.750000000000000,3012159.000000000000000,,,,,"7",yes,DStr7,-71.19480680,42.51322072
"90",CBN,,CBN,0.000000000000000,0.000000000000000,11/26/08,TFH,Digitized from  Record Drawings,,"67",yes,DStr67,-71.20426080,42.54201200
"91",CBN,,CBN,0.000000000000000,0.000000000000000,11/26/08,TFH,Digitized from  Record Drawings,,"68",yes,DStr68,-71.20423750,42.54207438
"95",CBN,,CBN,0.000000000000000,0.000000000000000,11/26/08,TFH,Digitized from  Record Drawings,,"72",yes,DStr72,-71.20473190,42.54209820
"96",CBN,,CBN,735598.687500000000000,3021626.500000000465661,,,,,"73",yes,DStr73,-71.20468860,42.54203945
"98",CBN,,CBN,0.000000000000000,0.000000000000000,11/26/08,TFH,Digitized from  Record Drawings,,"75",yes,DStr75,-71.20493160,42.54193673
"99",CBN,,CBN,735598.687500000000000,3021626.500000000465661,,,,,"76",yes,DStr76,-71.20484800,42.54191606
"104",CBN,,CBN,744655.562500000000000,3004956.750000000000000,,,,,"81",yes,DStr81,-71.17098650,42.49376221
"115",CBN,,CBN,738407.937500000000000,3015378.500000000000000,12-19-06,TFH,"New Structure, Leaching CB wick Ground Water",,"92",yes,DStr92,-71.19491720,42.52188279
"121",CBN,,CBN,735525.437500000000000,3002481.000000000000000,,,,,"98",yes,DStr98,-71.20578440,42.48658304
"209",CBN,,CBN,745545.812500000000000,3005983.750000000000000,,,,,"186",yes,DStr186,-71.16858200,42.49611078
"211",CBN,,CBN,745520.687500000000000,3005991.000000000000000,,,,,"188",yes,DStr188,-71.16867510,42.49613094
"213",CBN,,CBN,745486.187500000000000,3005969.750000000000000,,,,,"190",yes,DStr190,-71.16880330,42.49607300
"215",CBN,,CBN,745462.312500000116415,3005952.000000000000000,,,,,"192",yes,DStr192,-71.16889210,42.49602455
"216",CBN,,CBN,745387.687500000000000,3005830.250000000000000,,,,,"193",yes,DStr193,-71.16917050,42.49569127
"218",CBN,,CBN,745371.750000000000000,3005850.250000000000000,,,,,"195",yes,DStr195,-71.16922930,42.49574631
"219",CBN,,CBN,745191.437500000000000,3002849.500000000000000,,,,,"196",yes,DStr196,-71.16994840,42.48749871
"221",CBN,,CBN,745185.187500000000000,3002774.000000000000000,,,,,"198",yes,DStr198,-71.16997340,42.48728090
"223",CBN,,CBN,745169.250000000000000,3002831.750000000000000,,,,,"200",yes,DStr200,-71.17003100,42.48745025
"226",CBN,,CBN,745140.375000000000000,3005986.750000000000000,,,,,"203",yes,DStr203,-71.17009400,42.49610747
"227",CBN,,CBN,745132.437500000000000,3010190.750000000000000,,,,,"204",yes,DStr204,-71.17005440,42.50765895
"228",CBN,,CBN,745129.187500000000000,3006009.500000000000000,,,,,"205",yes,DStr205,-71.17013520,42.49617001
"229",CBN,,CBN,745112.625000000000000,3013091.500000000000000,,,,,"206",yes,DStr206,-71.17010420,42.51560310
"230",CBN,,CBN,745102.437500000000000,3010183.500000000000000,,,,,"207",yes,DStr207,-71.17016580,42.50763938
"231",CBN,,CBN,745067.437500000000000,3005561.750000000000000,,,,,"208",yes,DStr208,-71.17036180,42.49495792
"232",CBN,,CBN,745066.500000000000000,3010764.000000000000000,,,,,"209",yes,DStr209,-71.17029070,42.50923262
"233",CBN,,CBN,745059.625000000000000,3010795.000000000000000,,,,,"210",yes,DStr210,-71.17031580,42.50931775
"235",CBN,,CBN,745047.437500000000000,3010219.250000000000000,,,,,"212",yes,DStr212,-71.17036930,42.50773806
"236",CBN,,CBN,745044.937500000000000,3005589.000000000000000,,,,,"213",yes,DStr213,-71.17044490,42.49503293
"237",CBN,,CBN,745043.437500000000000,3003450.750000000000000,,,,,"214",yes,DStr214,-71.17048110,42.48916568
"238",CBN,,CBN,745041.437500000000000,3010714.000000000000000,,,,,"215",yes,DStr215,-71.17038440,42.50909569
"242",CBN,,CBN,745029.625000000000000,3010337.500000000000000,,,,,"219",yes,DStr219,-71.17043360,42.50806272
"244",CBN,,CBN,745007.312500000000000,3003430.250000000000000,,,,,"221",yes,DStr221,-71.17061530,42.48910981
"246",CBN,,CBN,745005.875000000000000,3010293.000000000000000,,,,,"223",yes,DStr223,-71.17052230,42.50794087
"247",CBN,,CBN,745004.250000000000000,3010658.500000000000000,,,,,"224",yes,DStr224,-71.17052310,42.50894379
"248",CBN,,CBN,744989.812500000000000,3010410.500000000465661,,,,,"226",yes,DStr226,-71.17058020,42.50826345
"250",CBN,,CBN,744967.312500000000000,3010574.250000000000000,,,,,"228",yes,DStr228,-71.17066130,42.50871301
"251",CBN,,CBN,744960.937500000000000,3003669.250000000000000,,,,,"229",yes,DStr229,-71.17078380,42.48976611
"252",CBN,,CBN,744960.562500000000000,3010551.000000000000000,,,,,"230",yes,DStr230,-71.17068670,42.50864928
"254",CBN,,CBN,744953.062499999883585,3005472.500000000000000,,,,,"232",yes,DStr232,-71.17078720,42.49471423
"255",CBN,,CBN,744947.562500000000000,3002633.000000000000000,,,,,"234",yes,DStr234,-71.17085440,42.48690866
"256",CBN,,CBN,744946.875000000000000,3003698.000000000000000,,,,,"235",yes,DStr235,-71.17083550,42.48984515
"257",CBN,,CBN,744936.062500000000000,3005495.250000000000000,,,,,"236",yes,DStr236,-71.17084990,42.49477684
"258",CBN,,CBN,744932.500000000000000,3002659.250000000000000,,,,,"237",yes,DStr237,-71.17090890,42.48697864
"259",CBN,,CBN,744913.500000000000000,3005746.250000000000000,,,,,"238",yes,DStr238,-71.17093000,42.49546581
"261",CBN,,CBN,744894.750000000000000,3002677.000000000000000,,,,,"240",yes,DStr240,-71.17106110,42.48704003
"262",CBN,,CBN,744892.937500000000000,3005773.250000000000000,,,,,"241",yes,DStr241,-71.17100580,42.49554012
"264",CBN,,CBN,744888.062500000000000,3005724.750000000000000,,,,,"243",yes,DStr243,-71.17102460,42.49540709
"268",CBN,,CBN,744867.187500000000000,3002665.500000000000000,,,,,"245",yes,DStr245,-71.17115370,42.48699678
"269",CBN,,CBN,744866.500000000000000,3005751.000000000000000,,,,,"246",yes,DStr246,-71.17110420,42.49547934
"270",CBN,,CBN,744827.000000000000000,3003595.000000000000000,,,,,"247",yes,DStr247,-71.17128150,42.48956379
"276",CBN,,CBN,744789.312500000000000,3005335.750000000000000,,,,,"253",yes,DStr253,-71.17139630,42.49434073
"277",CBN,,CBN,744784.062500000000000,3010649.000000000000000,,,,,"254",yes,DStr254,-71.17133990,42.50892006
"279",CBN,,CBN,744777.937500000000000,3006055.500000000000000,,,,,"256",yes,DStr256,-71.17143540,42.49629988
"280",CBN,,CBN,744776.562500000000000,3010626.500000000000000,,,,,"257",yes,DStr257,-71.17136800,42.50885840
"281",CBN,,CBN,744775.187500000000000,3006036.750000000000000,,,,,"258",yes,DStr258,-71.17144580,42.49624846
"282",CBN,,CBN,744771.125000000000000,3005353.750000000000000,,,,,"259",yes,DStr259,-71.17146350,42.49439032
"283",CBN,,CBN,744760.437500000000000,3005943.500000000000000,,,,,"260",yes,DStr260,-71.17149470,42.49600868
"284",CBN,,CBN,744759.250000000000000,3002932.000000000000000,,,,,"261",yes,DStr261,-71.17154210,42.48774526
"286",CBN,,CBN,744731.625000000000000,3002919.000000000000000,,,,,"263",yes,DStr263,-71.17164470,42.48770988
"288",CBN,,CBN,744720.187500000000000,3005951.250000000000000,,,,,"265",yes,DStr265,-71.17164380,42.49603037
"291",CBN,,CBN,744681.500000000000000,3003589.250000000000000,,,,,"268",yes,DStr268,-71.17182100,42.48954955
"292",CBN,,CBN,744681.250000000000000,3004977.000000000000000,,,,,"269",yes,DStr269,-71.17180210,42.49335748
"295",CBN,,CBN,744665.999999999883585,3005547.250000000000000,,,,,"272",yes,DStr272,-71.17185050,42.49492238
"296",CBN,,CBN,744665.937500000000000,3002474.750000000000000,,,,,"273",yes,DStr273,-71.17189460,42.48649157
"297",CBN,,CBN,744655.562500000000000,3004956.750000000000000,,,,,"274",yes,DStr274,-71.17189760,42.49330219
"298",CBN,,CBN,744642.250000000000000,3002459.000000000000000,,,,,"275",yes,DStr275,-71.17198260,42.48644861
"299",CBN,,CBN,744642.187500000000000,3005563.750000000465661,,,,,"276",yes,DStr276,-71.17193860,42.49496791
"301",CBN,,CBN,744617.187500000000000,3003198.250000000000000,,,,,"278",yes,DStr278,-71.17206500,42.48847734
"302",CBN,,CBN,744615.937500000000000,3010816.250000000000000,,,,,"279",yes,DStr279,-71.17196100,42.50938076
