FID,OBJECTID,ANCILLARYR,ENABLED,SUBTYPEFIE,FACILITYID,SYMBOLROTA,LIFECYCLES,WATERTYPE,INSTALLDAT,SURFACEELE,LASTEDITOR,LASTEDITDA,COMMENTS,OWNER,ARCFMID,HISTORICAL,FRAMEMATER,ACCESSMATE,WALLMATERI,GRATETYPE,DEPTH,INVERTELEV,ADDRESS,COATINGTYP,HOODED,CURBINLET,NORMENABLE,SOURCE1,LastCleanD,DEEP,x,y
1,938,0,1,1,D32CBN0446,0,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,3/27/09 0:00, ,CDPW,SCB000002677, , , , ,D,0,999,MT AUBURN,UNK,0,0,0, ,3/30/09 0:00, ,-71.13905169,42.37492594
7,946,0,1,1,D38CBN4207,30,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,12/13/10 0:00, ,CDPW,SCB000002572, , , , ,F,0,999,VASSAL LN,UNK,1,0,0, ,10/27/10 0:00, ,-71.14045853,42.38415246
12,962,0,1,1,D31CBN7910,58,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/6/10 0:00, ,CDPW,SCB000000896, , , , ,AG,0,999,31 HUDSON PKX LOT,UNK,0,0,0, ,7/26/10 0:00, ,-71.12112771,42.38191164
14,972,0,1,1,D37CBN1814,45,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/4/11 0:00,NEEDS VACTOR,CDPW,SCB000003971, , , , ,F,0,999,WALDEN AND GARDEN,UNK,1,1,0,Nstar Heat Exch Pipeline 20110302 Sht 11,10/25/10 0:00, ,-71.13219661,42.38561226
18,977,0,1,1,D37CBN1731,65,IS,STORM,11/26/74 0:00,999,GTS,10/26/11 0:00,RESET,CDPW,SCB000003995, ,UNK,UNK,UNK,D,0,999,CADBURY,UNK,0,1,0,PHASE2CONTRACT1SHEET17,10/21/11 0:00,Y,-71.13006166,42.38772726
22,982,0,1,1,D27CBN2017,50,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/4/11 0:00, ,CDPW,SCB000001486, , , , ,F,0,999,1 MIFFLIN PL,UNK,0,0,0,Nstar Heat Exch Pipeline 20110302 Sht 25,8/29/08 0:00, ,-71.12243691,42.37329065
27,987,0,1,1,D41CBN0233,40,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/6/10 0:00, ,CDPW,SCB000004620, , , , ,D,0,999,19 WASHBURN AVE,UNK,0,0,0,Cameron/Washburn Ave Remedial FY2004 C4,7/15/10 0:00, ,-71.13141548,42.39936093
44,1021,0,1,1,D27CBN1517,27,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/6/10 0:00, ,CDPW,SCB000004247, , , , ,F,0,999, ,UNK,0,0,0, ,7/22/10 0:00, ,-71.12252717,42.37247252
49,1027,0,1,1,D25CBN2046,50,IS,STORM,1/1/1753 12:00:00 AM,999,MWH,5/20/02 0:00,NOT FOUND,CDPW,SCB000004219, , , , , ,0,999, ,UNK,0,0,0, ,, ,-71.12067382,42.37316342
51,1039,0,1,1,D11CBN2709,56,IS,STORM,1/1/1753 12:00:00 AM,999,MWH,4/23/02 0:00, ,CDPW,SCB000003860, , , , ,D,0,999,VASSAR,UNK,0,1,0, ,9/9/09 0:00, ,-71.10627805,42.35447588
52,1044,0,1,1,D03CBN0016,45,IS,STORM,1/1/1753 12:00:00 AM,999,MWH,5/3/02 0:00, ,CDPW,SCB000001934, , , , ,F,0,999,4 CANAL PARK,UNK,0,0,0, ,, ,-71.07494603,42.36981492
53,1046,0,1,1,D22CBN4723,0,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000004490, , , , ,F,0,999,105 SACRAMENTO PARKING LOT,UNK,1,0,0, ,7/18/11 0:00,Y,-71.11659618,42.38313695
56,1054,0,1,1,D39CBN1722,0,IS,STORM,1/1/1753 12:00:00 AM,999, ,, ,CDPW,SCB000004576, , , , ,BM,0,999,LOT NEAR 114 HARVEY,UNK,0,0,0, ,, ,-71.13373445,42.39705509
69,1071,0,1,1,D21CBN1419,23,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,12/13/10 0:00, ,CDPW,SCB000001401, , , , ,F,0,999,10 TROWBRIDGE,UNK,1,0,0, ,10/12/10 0:00, ,-71.11263336,42.37045567
78,1082,0,1,1,D21CBN2335,51,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/6/10 0:00, ,CDPW,SCB000000684, , , , ,D,0,999,66 LINE ST,UNK,0,0,0, ,6/28/10 0:00, ,-71.10533564,42.37625722
81,1093,0,1,1,D01CBN5547,33,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/5/10 0:00, ,CDPW,SCB000003618, , , , ,D,0,999,10 FAYETTE ST,UNK,0,1,0,FIELD CHECK 8/08,8/11/10 0:00, ,-71.10406885,42.37151453
84,1103,0,1,1,D22CBN5803,0,IS,STORM,1/1/1753 12:00:00 AM,999, ,, ,CDPW,SCB000004476, , , , ,D,0,999,END OF PRIVITE WAY OFF WENDELL,UNK,0,0,0, ,8/19/08 0:00, ,-71.11531775,42.38219627
