OBJECTID,AncillaryR,Enabled,Subtype,Administra,FacilityID,InstallDat,LocationDe,Operationa,Rotation,LifecycleS,WorkorderI,Elevation,ElevationS,WaterType,AccessDiam,AccessMate,AccesType,Invert,InvertElev,Source,Inline,LocationMe,Completed,Comment,WSE_GPS_ID,Owner,Latitude,Longitude
499,,1,1,,,,,,341.7320862,Active,,6.239999771,,Storm,24,Steel,Grate,,,AERIALS,,,,,3,CHELSEA,42.39971264,-71.03912122
502,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,6,CHELSEA,42.4001241,-71.03788482
503,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,7,CHELSEA,42.40001932,-71.03777123
507,,1,1,,,,,,37.16447449,Active,,35.13999939,,Storm,24,Steel,Grate,,,GPS,,,,,11,CHELSEA,42.39394679,-71.0319231
508,,1,1,,,,,,37.2664032,Active,,35.13000107,,Storm,24,Steel,Grate,,,GPS,,,,,12,CHELSEA,42.39403546,-71.03201248
509,,1,1,,,00:00.0,,,0,Active,,,,Storm,24,Steel,Grate,,,WSE-RD,,DIGI,,,13,CHELSEA,42.39385229,-71.03195176
510,,1,1,,,00:00.0,,,0,Active,,,,Storm,24,Steel,Grate,,,WSE-RD,,DIGI,,,14,CHELSEA,42.39377233,-71.03196552
511,,1,1,,,00:00.0,,,0,Active,,,,Storm,24,Steel,Grate,,,WSE-RD,,DIGI,,,15,CHELSEA,42.3935702,-71.03097182
512,,1,1,,,00:00.0,,,0,Active,,,,Storm,24,Steel,Grate,,,WSE-RD,,DIGI,,,16,CHELSEA,42.39351655,-71.03097485
513,,1,1,,,00:00.0,,,0,Active,,,,Storm,24,Steel,Grate,,,WSE-RD,,DIGI,,,17,CHELSEA,42.39312071,-71.02937955
514,,1,1,,,00:00.0,,,0,Active,,,,Storm,24,Steel,Grate,,,WSE-RD,,DIGI,,,18,CHELSEA,42.39307194,-71.02940649
515,,1,1,,,,,,0,Active,,11.40999985,,Storm,24,Steel,Grate,,,AERIALS,,,,,19,CHELSEA,42.40134872,-71.03684121
516,,1,1,,,,,,290.3948669,Active,,12.22999954,,Storm,24,Steel,Grate,,,GPS,,,,,20,CHELSEA,42.40127281,-71.03677157
604,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,106,CHELSEA,42.41023677,-71.03344937
605,,1,1,,,,,,320.7927856,Active,,29.04000092,,Storm,24,Steel,Grate,,,AERIALS,,,,,107,CHELSEA,42.41088933,-71.03197878
606,,1,1,,,,,,318.8568115,Active,,29.29000092,,Storm,24,Steel,Grate,,,AERIALS,,,,,108,CHELSEA,42.41085137,-71.03204153
607,,1,1,,,,,,101.8886566,Active,,22.73999977,,Storm,24,Steel,Grate,,,AERIALS,,,,,109,CHELSEA,42.41127333,-71.03151154
608,,1,1,,,,,,291.0774841,Active,,22.25,,Storm,24,Steel,Grate,,,AERIALS,,,,,110,CHELSEA,42.411179,-71.03139945
609,,1,1,,,,,,290.7090454,Active,,22.31999969,,Storm,24,Steel,Grate,,,AERIALS,,,,,111,CHELSEA,42.41125959,-71.03128387
610,,1,1,,,,,,142.8001862,Active,,23.17000008,,Storm,24,Steel,Grate,,,AERIALS,,,,,112,CHELSEA,42.4113785,-71.03154224
611,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,113,CHELSEA,42.41114454,-71.03154545
612,,1,1,,,,,,332.1856995,Active,,14.68999958,,Storm,24,Steel,Grate,,,AERIALS,,,,,114,CHELSEA,42.40984222,-71.03097297
613,,1,1,,,,,,340.0169067,Active,,15.42000008,,Storm,24,Steel,Grate,,,GPS,,,,,115,CHELSEA,42.40976891,-71.03100965
614,,1,1,,,,,,35.86285019,Active,,14.15999985,,Storm,24,Steel,Grate,,,AERIALS,,,,,116,CHELSEA,42.39237534,-71.03595109
615,,1,1,,,,,,307.9210815,Active,,15.31000042,,Storm,24,Steel,Grate,,,AERIALS,,,,,117,CHELSEA,42.39252845,-71.03560924
618,,1,1,,,00:00.0,,,311.5317688,Active,,14.36999989,,Storm,24,Steel,Grate,,,WSE-RD,,,,,120,CHELSEA,42.39905666,-71.03298954
619,,1,1,,,00:00.0,,,312.7093811,Active,,14.60999966,,Storm,24,Steel,Grate,,,WSE-RD,,,,,121,CHELSEA,42.39891419,-71.03282103
620,,1,1,,,00:00.0,,,310.446228,Active,,13.81999969,,Storm,24,Steel,Grate,,,WSE-RD,,,,,122,CHELSEA,42.3988741,-71.03287982
621,,1,1,,,00:00.0,,,0,Active,,,,Storm,24,Steel,Grate,,,WSE-RD,,DIGI,,,123,CHELSEA,42.399032,-71.03306394
622,,1,1,,,00:00.0,,,311.3193665,Active,,13.31000042,,Storm,24,Steel,Grate,,,GPS,,,,,124,CHELSEA,42.39840744,-71.03233371
623,,1,1,,,00:00.0,,,313.2430115,Active,,13.85000038,,Storm,24,Steel,Grate,,,GPS,,,,,125,CHELSEA,42.39844908,-71.03227557
624,,1,1,,,00:00.0,,,0,Active,,13.61999989,,Storm,24,Steel,Grate,,,GPS,,,,,126,CHELSEA,42.39784135,-71.03168212
625,,1,1,,,00:00.0,,,312.510437,Active,,12.68999958,,Storm,24,Steel,Grate,,,GPS,,,,,127,CHELSEA,42.39796231,-71.03170184
626,,1,1,,,00:00.0,,,314.4543457,Active,,13.11999989,,Storm,24,Steel,Grate,,,GPS,,,,,128,CHELSEA,42.39792855,-71.03176677
627,,1,1,,,,,,60.78075409,Active,,12.47000027,,Storm,24,Steel,Grate,,,AERIALS,,,,,129,CHELSEA,42.3974957,-71.03244248
628,,1,1,,,,,,355.9717407,Active,,12.47000027,,Storm,24,Steel,Grate,,,AERIALS,,,,,130,CHELSEA,42.39744589,-71.03237999
629,,1,1,,,,,,36.20258713,Active,,13.23999977,,Storm,24,Steel,Grate,,,GPS,,,,,131,CHELSEA,42.39750938,-71.03228319
630,,1,1,,,,,,38.95590973,Active,,11.84000015,,Storm,24,Steel,Grate,,,GPS,,,,,132,CHELSEA,42.39716949,-71.03287491
631,,1,1,,,,,,278.637146,Active,,12.35999966,,Storm,24,Steel,Grate,,,GPS,,,,,133,CHELSEA,42.39722425,-71.03273067
632,,1,1,,,,,,0,Active,,11.02000046,,Storm,24,Steel,Grate,,,AERIALS,,,,,134,CHELSEA,42.39728685,-71.03281473
633,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,DIGI,,,135,CHELSEA,42.39255054,-71.03673144
635,,1,1,,,,,,36.59108734,Active,,19.69000053,,Storm,24,Steel,Grate,,,GPS,,DIGI,,,137,CHELSEA,42.39281581,-71.03717694
636,,1,1,,,,,,308.1909485,Active,,20.51000023,,Storm,24,Steel,Grate,,,GPS,,DIGI,,,138,CHELSEA,42.39288025,-71.03707625
637,,1,1,,,,,,38.23382568,Active,,10.46000004,,Storm,24,Steel,Grate,,,AERIALS,,,,,139,CHELSEA,42.39379265,-71.03818117
638,,1,1,,,,,,0,Active,,10.81000042,,Storm,24,Steel,Grate,,,AERIALS,,,,,140,CHELSEA,42.39374022,-71.03810144
639,,1,1,,,,,,73.96006012,Active,,10.68999958,,Storm,24,Steel,Grate,,,AERIALS,,,,,141,CHELSEA,42.39378947,-71.03799817
640,,1,1,,,,,,342.8972778,Active,,9.81000042,,Storm,24,Steel,Grate,,,AERIALS,,,,,142,CHELSEA,42.39551163,-71.03482532
641,,1,1,,,,,,41.74277878,Active,,9.380000114,,Storm,24,Steel,Grate,,,AERIALS,,,,,143,CHELSEA,42.39565484,-71.03492093
642,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,144,CHELSEA,42.39479573,-71.03614552
644,,1,1,,,,,,294.5377197,Active,,10.51000023,,Storm,24,Steel,Grate,,,AERIALS,,,,,145,CHELSEA,42.39492609,-71.0363598
645,,1,1,,,,,,350.7791748,Active,,10.61999989,,Storm,24,Steel,Grate,,,AERIALS,,,,,146,CHELSEA,42.39497524,-71.03620988
422,,1,1,,,,,,28.40189552,Active,,8.460000038,,Storm,24,Steel,Grate,,,AERIALS,,,,,147,CHELSEA,42.38615544,-71.02551182
