CB_ID,Grid,ID,StreetName,StreetSegm,Inspector,Inspection,Owner,GrateShape,GrateType,CatchBasin,GrateCondi,OilHood,StructureM,StructureC,StructureI,ConnectedT,StructureD,FieldSumpD,OverallIss,Comments,PlanRefere,PlanDate,PlanDatum,PlanRimEle,PlanRimE_1,Count,DepthCE,RimElevati,BaseElevat,DrawerNumb,PlanNumber,InstallDat,Longtitude,Latitude
12-188,"12","188",PLEASANT VIEW AVENUE,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"424","010",1904/02/01,-71.04594550,42.40937418
12-189,"12","189",PLEASANT VIEW AVENUE,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"424","010",1904/02/01,-71.04690700,42.40984498
12-59,"12","59",WOODLAWN STREET,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"733","014",1904/03/01,-71.04329090,42.41024271
12-60,"12","60",WOODLAWN STREET,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"735","019",1906/02/01,-71.04258220,42.41283701
12-61,"12","61",WOODLAWN STREET,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"735","019",1906/02/01,-71.04230120,42.41323930
12-62,"12","62",WOODLAWN STREET,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"735","019",1906/02/01,-71.04285150,42.41284088
12-63,"12","63",WOODLAWN STREET,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"735","019",1906/02/01,-71.04332610,42.41288008
13-34,"13","34",DARTMOUTH STREET,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"735","019",1906/02/01,-71.03679140,42.41044331
13-35,"13","35",ENGLEWOOD AVENUE,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"487","034",1941/02/01,-71.03461420,42.41240613
13-36,"13","36",ENGLEWOOD AVENUE,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"487","034",1941/02/01,-71.03452670,42.41234906
12-64,"12","64",CLARENCE STREET,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"0","0",9999/09/09,-71.04451810,42.41187384
17-32,"17","32",CHELSEA STREET,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","75",0.00000000000,0.00000000000,"0","0",9999/09/09,-71.04495170,42.40290132
17-33,"17","33",CHELSEA STREET,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","75",0.00000000000,0.00000000000,"0","0",9999/09/09,-71.04510780,42.40291837
17-34,"17","34",CHELSEA STREET,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","85",0.00000000000,0.00000000000,"0","0",9999/09/09,-71.04334230,42.40289206
17-35,"17","35",CHELSEA STREET,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","82",0.00000000000,0.00000000000,"0","0",9999/09/09,-71.04329300,42.40289307
17-36,"17","36",CHELSEA STREET,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"0","0",9999/09/09,-71.04425820,42.40291869
17-37,"17","37",CHATHAM ROAD,"0",BETA,2014/11/25,City,"0","0","0","0","0","0","0","0",Yes,0.00000000000,0.00000000000,Yes,Found In Field Sept 2015,"0","0","0",0.00000000000,0.00000000000,"1","79",0.00000000000,0.00000000000,"0","0",9999/09/09,-71.04231060,42.40797430
17-38,"17","38",CHATHAM ROAD,"0",BETA,2014/11/25,City,"0","0","0","0","0","0","0","0",Yes,0.00000000000,0.00000000000,Yes,Found In Field Sept 2015,"0","0","0",0.00000000000,0.00000000000,"1","81",0.00000000000,0.00000000000,"0","0",9999/09/09,-71.04222730,42.40794782
17-39,"17","39",CHELSEA STREET,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"488","013",1903/04/01,-71.04755100,42.40347940
17-40,"17","40",CHELSEA STREET,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"422","009",1902/03/01,-71.04595900,42.40338343
17-41,"17","41",CHELSEA STREET,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"422","009",1902/03/01,-71.04579940,42.40313761
17-42,"17","42",CHELSEA STREET,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"422","009",1902/03/01,-71.04569630,42.40299268
18-1,"1","18",FREMONT AVENUE,"0",BETA,2015/01/05,City,Square,Standard,Standard,Good,No,Barrel Block,Good,None,No,4.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"0","0",9999/09/09,-71.03669580,42.40794684
22-90,"22","90",THIRD STREET,"0",BETA,2015/01/05,City,D Shaped,Standard,Standard,Good,No,Barrel Block,Good,None,No,4.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"0","0",9999/09/09,-71.04557620,42.39852195
22-91,"22","91",THIRD STREET,"0",BETA,2015/01/05,City,D Shaped,Standard,Standard,Good,No,Barrel Block,Good,None,No,4.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"0","0",9999/09/09,-71.04568100,42.39847010
16-184,"16","184",SCHOOL STREET,"0",BETA,2015/01/06,City,Square,Standard,Standard,Good,No,Barrel Block,Good,None,No,2.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"0","0",9999/09/09,-71.05659140,42.40644585
16-187,"16","187",SCHOOL STREET,"0",BETA,2015/01/06,City,Square,Standard,Standard,Good,No,Barrel Block,Good,None,No,2.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"0","0",9999/09/09,-71.05653520,42.40640178
17-162,"17","162",CHELSEA STREET,"0",BETA,2015/01/06,City,Square,Standard,Standard,Good,No,Unknown,Full of Debris,Debris,No,4.00000000000,0.00000000000,Yes,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"0","0",9999/09/09,-71.04761570,42.40352218
21-17,"21","17",REVERE BEACH PARKWAY,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"488","013",1903/04/01,-71.04939570,42.40265069
21-18,"21","18",REVERE BEACH PARKWAY,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"488","013",1903/04/01,-71.04937480,42.40280825
21-19,"21","19",REVERE BEACH PARKWAY,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"488","013",1903/04/01,-71.04945110,42.40257286
21-20,"21","20",REVERE STREET,"0","0",,City,"0","0","0","0","0","0","0","0",Yes,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"0","0",9999/09/09,-71.05574390,42.40172434
21-21,"21","21",SECOND STREET,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"488","013",1903/04/01,-71.04903180,42.39922047
21-22,"21","22",SECOND STREET,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"488","013",1903/04/01,-71.04942400,42.39972777
21-23,"21","23",SECOND STREET,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"488","013",1903/04/01,-71.04951050,42.39967503
21-24,"21","24",SECOND STREET,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"488","013",1903/04/01,-71.04992360,42.40020529
21-25,"21","25",SECOND STREET,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"488","013",1903/04/01,-71.05001050,42.40015391
21-26,"21","26",SECOND STREET,"0","0",,City,"0","0","0","0","0","0","0","0",No,0.00000000000,0.00000000000,No,"0","0","0","0",0.00000000000,0.00000000000,"1","0",0.00000000000,0.00000000000,"488","013",1903/04/01,-71.05094990,42.40100840
