FID,ANCILLARYR,ENABLED,SUBTYPE,INSTALLDAT,LIFECYCLES,PLANNUM,OWNER,COMMENTS,RIMELEVATI,BASEELEVAT,INITIAL,STREETNAME,TYPE,FID2,ACCESSTYPE,ACCESSMAT,SEALMETHD,WALLMATERI,CONDITION,CLEANING,SUMP,HOODED,FEATUREID,COMMENT,REINSPECT,DATESTAMP,CREW,DataSource,Depth_to_S,SedimentDe,SOURCE_1,x,y
1,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,782,UNK,CI, ,BRICK,GOOD,NONE,YES,NO,782, ,NO,11/26/03 9:18,Laptop 2,2,999,999,FIELD,-71.05312061,42.46212728
2,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,783,CGR,CI, ,BRICK,GOOD,NONE,YES,NO,783,"CLEANING, ASPHALT",NO,11/26/03 9:18,Laptop 2,2,999,999,FIELD,-71.05296544,42.46208378
3,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,784,CGR,CI, ,BRICK,GOOD,NONE,YES,NO,784,"CLEANING, ASPHALT",NO,11/26/03 9:18,Laptop 2,2,999,999,FIELD,-71.05284329,42.46211127
4,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,785,CGR,CI, ,MHBLK,GOOD,NONE,YES,NO,785, ,NO,11/26/03 9:18,Laptop 2,2,999,999,FIELD,-71.05278648,42.46217965
5,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,786,CGR,CI, ,BRICK,GOOD,DEBRIS,NO,NO,786,"CLEANING, ASPHALT",NO,11/18/03 9:10,Laptop 2,2,999,999,FIELD,-71.05185428,42.46227279
6,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,790,DGR,CI, ,UNK,UNK,UNK,UNK,UNK,790, ,IMMOVABLE COVER,11/18/03 12:01,Laptop 2,2,999,999,FIELD,-71.04980657,42.46177261
7,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,791,DGR,CI, ,UNK,UNK,UNK,UNK,UNK,791,BROKEN D-GRATE,IMMOVABLE COVER,11/18/03 12:53,Laptop 2,2,999,999,FIELD,-71.04987805,42.46174322
8,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,792,DGR,CI, ,BRICK,GOOD,NONE,YES,YES,792, ,NO,11/26/03 9:02,Laptop 2,2,999,999,FIELD,-71.05021235,42.46251607
9,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,793,DGR,CI, ,BRICK,GOOD,NONE,YES,NO,793, ,NO,11/26/03 9:02,Laptop 2,2,999,999,FIELD,-71.05013039,42.46254859
10,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,794,CGR,CI, ,BRICK,GOOD,NONE,YES,NO,794, ,NO,11/26/03 9:05,Laptop 2,2,999,999,FIELD,-71.05103308,42.46240084
11,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,795,GR,STEEL, ,MHBLK,GOOD,NONE,YES,NO,795, ,NO,11/25/03 16:07,Laptop 2,2,999,999,FIELD,-71.0460075,42.46305151
12,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,796,GR,STEEL, ,MHBLK,GOOD,SAND,YES,NO,796, ,NO,11/25/03 16:07,Laptop 2,2,999,999,FIELD,-71.04611227,42.46303734
