OBJECTID,SYSTEMID,FACILITYID,INSTALLDAT,PLANDATE,PLANDATUM,STNDDATUM,SOURCEDOC,LOCDESC,LOCSOURCE,LIFECYCLES,CBTYPE,PLANRIMELV,PLANINVIN,PLANINVOUT,PLANHIPIPE,STNDRIMELV,STNDINVIN,STNDINVOUT,STNDHIPIPE,MU_IN,MU_OUT,CALC_INVIN,CALC_INVOU,Z_SURFACE_,DSOUTFALLI,MAJWATERSH,MINWATERSH,IDDE_ID,LEGACYID,GPS_ID,GPSDATE,SUMP,WALLMAT,CUTDEPTH,LINED,CONDITION,FLOWDIR,ROTATION,ACTIVEFLAG,OWNEDBY,MAINTBY,LASTUPDATE,LASTEDITOR,COMMENTS,ENABLED,Latitude,Longitude
1,S001-c013,swCB-1,,1976/12/01 00:00:00.000,NGVD,NGVD,MasterPlan-09,Main St,AER,,CB,94.810000000000002,88.370000000000005,88.370000000000005,,94.810000000000002,88.370000000000005,88.370000000000005,,,,,,92.927482600000005,S001,Saugus,Walker's Brook,,9-58,,,Y,,,,,,5.628900000000000,,"1","1",2012/03/27 13:00:58.000,CDM_INC\KEALEYDM,,"1",42.51719029,-71.10361655
2,S001-c010,swCB-2,,2013/06/19 00:00:00.000,NGVD,NGVD,1000-I-038,Minot St,AER,,CB,,,,,,,,,,3.400000000000000,,92.015510000000006,94.321434019999998,S001,Saugus,Walker's Brook,,,,,Y,,,,,,334.427900000000022,,"1","1",2013/07/18 10:25:04.000,CDM_INC\KEALEYDM,,"1",42.51703853,-71.10371720
3,S001-c019,swCB-3,,1976/12/01 00:00:00.000,NGVD,NGVD,MasterPlan-09,Main St,EST,,CB,,,,,,,,,,,,,94.019584660000007,S001,Saugus,Walker's Brook,,,,,Y,,,,,,73.911100000000005,,"1","1",2012/03/27 13:01:00.000,CDM_INC\KEALEYDM,,"1",42.51750974,-71.10382144
4,S001-c022,swCB-4,,1976/12/01 00:00:00.000,NGVD,NGVD,MasterPlan-09,Main St,AER,,CB,,,,,,,,,,,,,93.665924070000003,S001,Saugus,Walker's Brook,,,,,Y,,,,,,52.079400000000000,,"1","1",2012/03/27 13:01:00.000,CDM_INC\KEALEYDM,,"1",42.51757502,-71.10370709
5,S001-c026,swCB-5,,1976/12/01 00:00:00.000,NGVD,NGVD,MasterPlan-09,Minot St,AER,,CB,,,,,,,,,,,,,93.839927669999994,S001,Saugus,Walker's Brook,,,,,Y,,,,,,29.699200000000001,,"1","1",2012/03/27 13:01:01.000,CDM_INC\KEALEYDM,,"1",42.51786340,-71.10420537
6,S001-c025,swCB-6,,1976/12/01 00:00:00.000,NGVD,NGVD,MasterPlan-09,Minot Ave,AER,,CB,,,,,,,,,,,,,93.919403079999995,S001,Saugus,Walker's Brook,,,,,Y,,,,,,285.100300000000004,,"1","1",2012/03/27 13:01:01.000,CDM_INC\KEALEYDM,,"1",42.51783545,-71.10427839
7,S001-c015,swCB-7,,2013/06/19 00:00:00.000,NGVD,NGVD,1000-I-038,Minot St,AER,,CB,,,,,,,,,,3.100000000000000,,91.742329999999995,93.901748659999996,S001,Saugus,Walker's Brook,,,,,Y,,,,,,287.136300000000006,,"1","1",2013/07/18 10:13:25.000,CDM_INC\KEALEYDM,,"1",42.51719339,-71.10382528
8,S001-c014,swCB-8,,2013/06/19 00:00:00.000,NGVD,NGVD,1000-I-038,Minot St,AER,,CB,,,,,,,,,,3.900000000000000,,91.805779999999999,93.214393619999996,S001,Saugus,Walker's Brook,,,,,Y,,,,,,43.424700000000001,,"1","1",2013/07/18 10:13:31.000,CDM_INC\KEALEYDM,,"1",42.51720557,-71.10375179
9,S001-c038,swCB-9,,1976/12/01 00:00:00.000,NGVD,NGVD,MasterPlan-09,Center Ave,AER,,CB,,,,,,,,,,,,,94.849952700000003,S001,Saugus,Walker's Brook,,,,,Y,STO,,,,,140.216900000000010,,"1","1",2012/04/28 15:12:11.000,CDM_INC\KEALEYDM,,"1",42.51888694,-71.10507958
10,S001-c036,swCB-10,,1976/12/01 00:00:00.000,NGVD,NGVD,MasterPlan-09,Center Ave,AER,,CB,96.319999999999993,92.620000000000005,92.620000000000005,,96.319999999999993,92.620000000000005,92.620000000000005,,,,,,94.397003170000005,S001,Saugus,Walker's Brook,,,,,Y,STO,,,,,140.216900000000010,,"1","1",2012/04/28 15:12:12.000,CDM_INC\KEALEYDM,,"1",42.51892842,-71.10512584
11,S001-c035,swCB-11,,1976/12/01 00:00:00.000,NGVD,NGVD,MasterPlan-09,Warren Ave,AER,,CB,96.730000000000004,90.420000000000002,90.420000000000002,,96.730000000000004,90.420000000000002,90.420000000000002,,,,,,94.350654599999999,S001,Saugus,Walker's Brook,,9-46,,,Y,STO,,,,,0.000000000000000,,"1","1",2012/04/28 15:12:12.000,CDM_INC\KEALEYDM,,"1",42.51897412,-71.10508107
12,S001-c044,swCB-12,,1948/12/01 00:00:00.000,TOWN,NGVD,700-L-185,Minot Ave,AER,,CB,204.180000000000007,202.530000000000001,201.560000000000002,,98.530000000000001,96.879999999999995,95.909999999999997,,,,,,95.689552309999996,S001,Saugus,Walker's Brook,,,,,Y,STO,,,,,198.750200000000007,,"1","1",2012/04/28 15:12:12.000,CDM_INC\KEALEYDM,,"1",42.51961653,-71.10553397
13,S001-c043,swCB-13,,1948/12/01 00:00:00.000,TOWN,NGVD,700-L-185,Warren Ave,AER,,CB,203.949999999999989,,202.199999999999989,,98.299999999999997,,96.549999999999997,,,,,,95.973541260000005,S001,Saugus,Walker's Brook,,,,,Y,BR,,,,,238.628500000000003,,"1","1",2012/04/28 15:11:17.000,CDM_INC\KEALEYDM,,"1",42.51951936,-71.10554894
14,S001-c045,swCB-14,,1948/12/01 00:00:00.000,TOWN,NGVD,700-L-185,Minot Ave,AER,,CB,203.879999999999995,,202.710000000000008,,98.230000000000004,,97.060000000000002,,,,,,96.499282840000006,S001,Saugus,Walker's Brook,,,,,Y,BMP,,,,,236.382200000000012,,"1","1",2012/04/28 15:11:21.000,CDM_INC\KEALEYDM,,"1",42.51956216,-71.10559148
15,S001-c012,swCB-15,,2013/06/19 00:00:00.000,NGVD,NGVD,1000-I-038,Main St,EST,,CB,,,,,,,,,,,,,93.060264590000003,S001,Saugus,Walker's Brook,,,,,Y,,,,,,37.082200000000000,,"1","1",2013/07/18 10:24:16.000,CDM_INC\KEALEYDM,,"1",42.51706796,-71.10347036
16,S001-c009,swCB-16,,2013/06/19 00:00:00.000,NGVD,NGVD,1000-I-038,Main St,AER,,CB,,,,,,,,,4.550000000000000,4.830000000000000,91.109520000000003,90.829520000000002,93.991905209999999,S001,Saugus,Walker's Brook,,9-59,,,Y,,,,,,0.000000000000000,,"1","1",2013/07/18 10:25:59.000,CDM_INC\KEALEYDM,,"1",42.51690902,-71.10363975
17,S001-c006,swCB-17,,1976/12/01 00:00:00.000,NGVD,NGVD,MasterPlan-09,Main St,AER,,CB,,,,,,,,,,,,,93.347518919999999,S001,Saugus,Walker's Brook,,,,,Y,,,,,,67.632300000000001,,"1","1",2012/07/29 12:48:08.000,CDM_INC\KEALEYDM,,"1",42.51660866,-71.10345048
18,S001-c003,swCB-18,,1967/03/01 00:00:00.000,TOWN,NGVD,600-L-264,Avon St,AER,,CB,,,,,,,,,,,,,92.692276000000007,S001,Saugus,Walker's Brook,,,,,Y,,,,,,15.642099999999999,,"1","1",2012/07/29 12:48:00.000,CDM_INC\KEALEYDM,,"1",42.51627888,-71.10346067
19,S001-c002,swCB-19,,1967/03/01 00:00:00.000,TOWN,NGVD,600-L-264,Avon St,AER,,CB,,,,,,,,,,,,,93.084152220000007,S001,Saugus,Walker's Brook,,,,,Y,,,,,,103.106300000000005,,"1","1",2012/07/29 12:48:01.000,CDM_INC\KEALEYDM,,"1",42.51620645,-71.10348858
20,S001-c001,swCB-20,,1979/12/24 00:00:00.000,NGVD,NGVD,900-L-413,Main St,AER,,CB,,,,,,,,,4.750000000000000,4.850000000000000,89.124920000000003,89.024919999999995,93.515632629999999,S001,Saugus,Walker's Brook,,9-61,,,Y,,,,,,0.000000000000000,,"1","1",2013/07/18 16:04:06.000,CDM_INC\KEALEYDM,,"1",42.51624244,-71.10369319
21,S001-c021,swCB-21,,1976/12/01 00:00:00.000,NGVD,NGVD,MasterPlan-09,Main St,AER,,CB,,,,,,,,,,,,,92.981849670000003,S001,Saugus,Walker's Brook,,,,,Y,,,,,,4.071700000000000,,"1","1",2012/07/29 13:51:25.000,CDM_INC\KEALEYDM,,"1",42.51762176,-71.10341357
