FID,OBJECTID,AncillaryR,Enabled,Subtype,FacilityID,InstallDat,Rotation,LifecycleS,WaterType,PlanNum,Owner,CatchArea,Comments,AccessDiam,AccessMate,AccesType,Station,RimElevati,FieldBook,Invert,x,y
1,38,0,1,1, ,11/14/1939 12:00:00 AM,0,Proposed,Storm,PF-62,Somerv, ,PROPOSED CB,0,Unk,Unk,9999,9999, ,9999,-71.1332788426083,42.4045640502173
2,39,0,1,1, ,11/14/1939 12:00:00 AM,0,Proposed,Storm,PF-62,Somerv, ,PROPOSED CB,0,Unk,Unk,9999,9999, ,9999,-71.1332131879013,42.4045233498026
3,40,0,1,1, ,11/14/1939 12:00:00 AM,0,Proposed,Storm,PF-62,Somerv, ,PROPOSED CB,9999,Unk,Unk,9999,9999, ,9999,-71.1328402681612,42.4049544914863
4,42,0,1,1, ,11/14/1939 12:00:00 AM,0,Proposed,Storm,PF-62,Somerv, ,PROPOSED CB,0,Unk,Unk,9999,9999, ,9999,-71.1323572453778,42.4053864710131
5,43,0,1,1, ,11/14/1939 12:00:00 AM,0,Proposed,Storm,PF-62,Somerv, ,PROPOSED CB,0,Unk,Unk,9999,9999, ,9999,-71.1322915921217,42.4053469608151
6,44,0,1,1, ,11/14/1939 12:00:00 AM,0,Active,Storm,PF-61,Somerv, , ,0,Unk,Unk,9999,9999, ,9999,-71.1331201367769,42.4038048833407
7,45,0,1,1, ,12/1/1939 12:00:00 AM,0,Active,Storm,PF-20,Somerv, ,PLAN STATES: ""EX. C.B. REBUILD"",0,Unk,Unk,9999,9999, ,9999,-71.1298344725318,42.4078772383132
8,46,0,1,1, ,12/1/1939 12:00:00 AM,0,Active,Storm,PF-20,Somerv, ,PLAN STATES: ""EX. C.B. REBUILD"",0,Unk,Unk,9999,9999, ,9999,-71.1298556547646,42.4078830232127
9,47,0,1,1, ,12/1/1939 12:00:00 AM,0,Active,Storm,PF-20,Somerv, ,PLAN STATES: ""EX. C.B. REBUILD"",0,Unk,Unk,9999,9999, ,9999,-71.1298787884605,42.4078845252002
10,48,0,1,1, ,12/1/1939 12:00:00 AM,0,Active,Storm,PF-20,Somerv, ,EXISTING CB,0,Unk,Unk,9999,9999, ,9999,-71.130243770682,42.4072513728351
11,49,0,1,1, ,12/1/1939 12:00:00 AM,0,Active,Storm,PF-20,Somerv, ,EXISTING CB,0,Unk,Unk,9999,9999, ,9999,-71.1303926590463,42.4072947300898
12,50,0,1,1, ,12/1/1939 12:00:00 AM,0,Active,Storm,PF-20,Somerv, ,EXISTING CB,0,Unk,Unk,9999,9999, ,9999,-71.1301671212274,42.4073873753787
13,51,0,1,1, ,1/1/1927 12:00:00 AM,0,Active,Storm,MM-10,Somerv, ,ASSUMED FROM PLAN TO BE CATCH BASIN - MAY BE OWNED BY B&L R.R. - PLANS GIVE NO PROFILE OR DATA ON STRUCTURES,0,Unk,Unk,9999,9999, ,9999,-71.1066039625126,42.3944866601076
14,52,0,1,1, ,1/1/1927 12:00:00 AM,0,Active,Storm,MM-10,Somerv, ,ASSUMED FROM PLAN TO BE CATCH BASIN - MAY BE OWNED BY B&L R.R. - PLANS GIVE NO PROFILE OR DATA ON STRUCTURES,0,Unk,Unk,9999,9999, ,9999,-71.1063744953924,42.3941800296611
15,53,0,1,1, ,1/1/1927 12:00:00 AM,0,Active,Storm,MM-10,Somerv, ,ASSUMED FROM PLAN TO BE CATCH BASIN - MAY BE OWNED BY B&L R.R. - PLANS GIVE NO PROFILE OR DATA ON STRUCTURES,0,Unk,Unk,9999,9999, ,9999,-71.1068526371934,42.3948062232968
