OBJECTID,Facility ID,Install Date,Inlet Type,Access Diameter,Invert Elevation,Access Material,Access Type,Enabled,Active Flag,Owned By,Managed By,Last Update Date,Last Editor,AncillaryRole,DrainArea,StreetName,GlobalID,x,y
1,99-cb-187,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:49 AM,WSE03\GannonR,0,99,BROOKLINE STREET,41351533-d01f-43aa-a4ff-099e084964d9,-71.1988234341288,42.381790836718
2,33-cb-336,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:49 AM,WSE03\GannonR,0,33,WATERTOWN STREET,f0d09c1b-48f0-456e-a709-679141c0f2d3,-71.1896145990694,42.3637209195325
3,8-cb-455,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:49 AM,WSE03\GannonR,0,8,HIGHLAND AVENUE,68c45ebc-ed6e-4228-976b-3b64fbfb2eda,-71.200836240483,42.375266225476
4,8-cb-467,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:49 AM,WSE03\GannonR,0,8,OLCOTT STREET,2b0eac6f-1376-4b8e-93f7-4020f24a9bfd,-71.1985202800259,42.3738428524351
5,8-cb-469,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:49 AM,WSE03\GannonR,0,8,OLCOTT STREET,a02bae71-8db3-4e8b-99f5-337b33b92661,-71.198620995517,42.3738662265609
6,6-cb-475,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:49 AM,WSE03\GannonR,0,6, ,b4655fd1-3584-42b9-94b3-1ee1975ea569,-71.1971600503986,42.3691384835141
7,6-cb-476,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:49 AM,WSE03\GannonR,0,6, ,f66b3751-663a-4477-815d-efe6940db023,-71.197317967045,42.3688958526623
8,1-cb-504,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:49 AM,WSE03\GannonR,0,1,STANLEY AVENUE,f5ce1940-5212-48a8-9d1b-b8997a5b0bbb,-71.2077348608795,42.36917010858
9,5-cb-507,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:49 AM,WSE03\GannonR,0,5,BRIDGE STREET,86710207-bcb8-4c0b-98ea-56bdbf66b448,-71.2047457424996,42.3678852446572
10,5-cb-509,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:49 AM,WSE03\GannonR,0,5,BRIDGE STREET,7112a867-78ca-4cb2-a6ac-f9629ecf2387,-71.2045776782941,42.3678016486615
11,11a-cb-512,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:49 AM,WSE03\GannonR,0,11a,BACON STREET,d679dabe-fbd7-4e9c-8ed9-73c8fc4bcd7c,-71.1933461751998,42.3697505382074
12,11a-cb-514,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:49 AM,WSE03\GannonR,0,11a,BACON STREET,f0b8123f-dc76-4916-b82f-65cd38a1fc6b,-71.1937707848858,42.3694716275885
13,11a-cb-524,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:49 AM,WSE03\GannonR,0,11a,FOREST STREET,56e11c07-10c7-4674-877b-81725382333f,-71.1900946028086,42.3700222032899
14,11a-cb-526,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:49 AM,WSE03\GannonR,0,11a,FOREST STREET,6c0e7115-0b48-4edd-851b-3167e373e594,-71.1902231451861,42.3699859818647
