p_id,p_facility,p_inlettyp,p_in_typ_o,p_locdesc,p_ownedby,p_legacy_i,p_cvtype,p_cv_typ_o,p_cvshape,p_cv_shp_o,p_cvmateri,p_cv_mat_o,p_cvsize,p_oilhood,p_framemat,p_frm_mat_,p_chimney,p_chimydia,p_chimymat,p_chm_mat_,p_conetype,p_con_typ_,p_conemate,p_con_mat_,p_wallmat,p_wal_mat_,p_bench,p_benchmat,p_ben_mat_,p_channel,p_chanmate,p_chn_mat_,p_chanexpo,p_rimelev,p_inv_dept,p_invertel,p_sump_dep,p_fin_dept,p_installd,p_maintby,p_lastupda,p_lastedit,p_plans,p_comments,p_elevatio,p_map_date,p_mapped_b,p_map_by_o,p_map_meth,p_map_met_,p_map_stat,p_rotation,p_conditio,p_flow,p_activefl,p_enabled,p_operable,p_keyjncti,p_anclryro,p_division,p_asset,p_st_cntr_,Longitude,Latitude
66583,CB-4970,Catchbasin,,143 BEDFORD RD,City,dCB_5083,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.8,,,,,1/1/70,City,3/8/22,MSB,,,83.80000305,1/1/70,,,Aerial Photo,,,-169.7086401,,,,,,,,HIGHWAY,Stormwater,6311,-71.17425349,42.48128223
66604,CB-4993,Catchbasin,,None,City,dCB_5106,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,1/1/70,City,3/8/22,MSB,,,106,1/1/70,,,Aerial Photo,,,-64.36130093,,,,,,,,HIGHWAY,Stormwater,6330,-71.18409188,42.47810589
66618,CB-5007,Catchbasin,,None,City,dCB_5120,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.4,,,,,1/1/70,City,3/8/22,MSB,,,70.40000152,1/1/70,,,Aerial Photo,,,-154.578336,,,,,,,,HIGHWAY,Stormwater,4714,-71.17406978,42.47766385
66729,CB-5127,Catchbasin,,12 KELLY DR,City,dCB_5241,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.2,,,,,1/1/70,City,3/8/22,MSB,,,67.19999694,1/1/70,,,Aerial Photo,,,78.95929623,,,,,,,,HIGHWAY,Stormwater,5338,-71.1799502,42.47451083
66411,CB-4757,Catchbasin,,227 GARFIELD AVE,City,dCB_4869,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9,3,44.9,3,6,1/1/70,City,3/8/22,MSB,,,47.90000152,1/1/70,,,Aerial Photo,,,-214.5563893,,,,,,,,HIGHWAY,Stormwater,4945,-71.13847522,42.46889322
66790,CB-5213,Catchbasin,,171 LEXINGTON ST,City,dCB_5327,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.2,,,,,1/1/70,City,3/8/22,MSB,,,54.20000076,1/1/70,,,Aerial Photo,,,58.9912235,,,,,,,,HIGHWAY,Stormwater,5684,-71.17589826,42.47079587
66813,CB-5230,Catchbasin,,16 LEE RD,City,dCB_5344,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.1,0,,0,0,1/1/70,City,3/8/22,MSB,,,160.1000061,1/1/70,,,Aerial Photo,,,-148.2437495,,,,,,,,HIGHWAY,Stormwater,6078,-71.19827879,42.47008524
66824,CB-5273,Catchbasin,,13 INDEPENDENCE DR,City,dCB_5387,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1/1/70,City,3/8/22,MSB,,,,1/1/70,,,Aerial Photo,,,14.83097312,,,,,,,,HIGHWAY,Stormwater,6321,-71.18493998,42.47049791
66834,CB-5281,Catchbasin,,27 REVERE RD,City,dCB_5396,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.4,,,,,1/1/70,City,3/8/22,MSB,,,173.3999939,1/1/70,,,Aerial Photo,,,-164.9486297,,,,,,,,HIGHWAY,Stormwater,4949,-71.18510696,42.468961
66881,CB-5355,Catchbasin,,7 BRISCOE ST,City,dCB_5471,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.8,3,182.8,1,4,1/1/70,City,3/8/22,MSB,,,185.8000031,1/1/70,,,Aerial Photo,,,-242.4280386,,,,,,,,HIGHWAY,Stormwater,5730,-71.18797324,42.4664458
66637,CB-5032,Catchbasin,,65 CAMBRIDGE RD,City,dCB_5145,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,2,5,1/1/70,City,3/8/22,MSB,,,,1/1/70,,,Aerial Photo,,,-54.23200153,,,,,,,,HIGHWAY,Stormwater,5714,-71.18385865,42.47592263
66509,CB-4858,Catchbasin,,11 QUIMBY AVE,City,dCB_4970,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6,3,91.6,3,6,1/1/70,City,3/8/22,MSB,,,94.59999847,1/1/70,,,Aerial Photo,,,29.90545672,,,,,,,,HIGHWAY,Stormwater,5363,-71.17264005,42.48504121
66624,CB-5013,Catchbasin,,None,City,dCB_5127,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.7,2,57.7,2,4,1/1/70,City,3/8/22,MSB,,,59.70000076,1/1/70,,,Aerial Photo,,,-256.6227938,,,,,,,,HIGHWAY,Stormwater,5744,-71.17346321,42.47807981
66684,CB-5082,Catchbasin,,25 WILLOW ST,City,dCB_5196,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.7,3,53.7,3,6,1/1/70,City,3/8/22,MSB,,,56.70000076,1/1/70,,,Aerial Photo,,,-83.23681095,,,,,,,,HIGHWAY,Stormwater,6500,-71.17282137,42.4758761
66682,CB-5080,Catchbasin,,None,City,dCB_5194,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.4,,,3,3,1/1/70,City,3/8/22,MSB,,,70.40000152,1/1/70,,,Aerial Photo,,,23.73054221,,,,,,,,HIGHWAY,Stormwater,4714,-71.1756289,42.47705195
66665,CB-5061,Catchbasin,,1 COLUMBUS RD,City,dCB_5174,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.9,3,63.9,3,6,1/1/70,City,3/8/22,MSB,,,66.90000152,1/1/70,,,Aerial Photo,,,30.90974151,,,,,,,,HIGHWAY,Stormwater,5058,-71.17805185,42.47596782
66836,CB-5283,Catchbasin,,21 REVERE RD,City,dCB_5398,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.9,4,143.9,2,6,1/1/70,City,3/8/22,MSB,,,147.8999939,1/1/70,,,Aerial Photo,,,28.4018299,,,,,,,,HIGHWAY,Stormwater,4949,-71.18397962,42.46936642
66484,CB-4831,Catchbasin,,14 BORDER ST,City,dCB_4943,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.9,4,64.9,3,7,1/1/70,City,3/8/22,MSB,,,68.90000152,1/1/70,,,Aerial Photo,,,39.05959345,,,,,,,,HIGHWAY,Stormwater,6458,-71.14726021,42.46544099
66489,CB-4836,Catchbasin,,12 PICKERING ST,City,dCB_4948,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.1,3,66.1,4,7,1/1/70,City,3/8/22,MSB,,,69.09999847,1/1/70,,,Aerial Photo,,,-234.2508702,,,,,,,,HIGHWAY,Stormwater,6457,-71.14817994,42.46565411
66520,CB-4869,Catchbasin,,12 QUIMBY AVE,City,dCB_4981,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.5,4,90.5,2,6,1/1/70,City,3/8/22,MSB,,,94.5,1/1/70,,,Aerial Photo,,,29.90545672,,,,,,,,HIGHWAY,Stormwater,5363,-71.17269039,42.4851066
66906,CB-5374,Catchbasin,,198 LEXINGTON ST,City,dCB_5491,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2,,,,,1/1/70,City,3/8/22,MSB,,,64.19999694,1/1/70,,,Aerial Photo,,,-50.19509192,,,,,,,,HIGHWAY,Stormwater,6488,-71.17778833,42.46746275
66926,CB-5394,Catchbasin,,173 CAMBRIDGE RD A,City,dCB_5511,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.4,,,,,1/1/70,City,3/8/22,MSB,,,61.40000152,1/1/70,,,Aerial Photo,,,-234.640997,,,,,,,,HIGHWAY,Stormwater,5301,-71.17896855,42.46845346
66937,CB-5405,Catchbasin,,199 CAMBRIDGE RD,City,dCB_5522,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8,,,,,1/1/70,City,3/8/22,MSB,,,64.80000305,1/1/70,,,Aerial Photo,,,85.26037096,,,,,,,,HIGHWAY,Stormwater,4837,-71.17801881,42.46637398
67009,CB-5485,Catchbasin,,229 LEXINGTON ST,City,dCB_5608,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9,,,,,1/1/70,City,3/8/22,MSB,,,64.90000152,1/1/70,,,Aerial Photo,,,-88.11672637,,,,,,,,HIGHWAY,Stormwater,4837,-71.17800805,42.46558508
67012,CB-5494,Catchbasin,,None,City,dCB_5617,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,1/1/70,City,3/8/22,MSB,,,71,1/1/70,,,Aerial Photo,,,,,,,,,,,HIGHWAY,Stormwater,,-71.17759728,42.46424137
67060,CB-6295,Catchbasin,,BEDFORD RD,City,dCB_6451,,,,,,,,,,,,,,,,,,,Precast Concrete,,,,,,,,,0,,,,,1/1/70,City,3/8/22,MSB,,,,1/1/70,,,,,,,,,,,,,,HIGHWAY,Stormwater,,-71.16711123,42.48493873
67103,CB-5552,Catchbasin,,16 ROMAN RD,City,dCB_5676,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.1,,,,,1/1/70,City,3/8/22,MSB,,Tagged,142.1000061,1/1/70,,,Aerial Photo,,,-152.4852235,,,,,,,,HIGHWAY,Stormwater,6099,-71.1933093,42.46298855
67170,CB-5607,Catchbasin,,None,City,dCB_5730,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1/1/70,City,3/8/22,MSB,,,,1/1/70,,,Aerial Photo,,,,,,,,,,,HIGHWAY,Stormwater,,-71.17705043,42.4635621
67183,CB-5620,Catchbasin,,6 GRANT ST,City,dCB_5743,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,,,,,1/1/70,City,3/8/22,MSB,,,198,1/1/70,,,Aerial Photo,,,-215.9721879,,,,,,,,HIGHWAY,Stormwater,5187,-71.20256042,42.46085264
67201,CB-5630,Catchbasin,,14 GRANT ST,City,dCB_5753,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.6,,,,,1/1/70,City,3/8/22,MSB,,,194.6000061,1/1/70,,,Aerial Photo,,,-39.03607547,,,,,,,,HIGHWAY,Stormwater,5187,-71.20371314,42.46174844
67233,CB-6593,Catchbasin,,Shamrock,City,,,,,,,,,,,,,,,,,,,,Precast Concrete,,,,,,,,,126.9,,,,,1/17/01,City,3/8/22,MSB,,,126.9,1/1/70,,,,,,,,,,,,,,HIGHWAY,Stormwater,,-71.14043501,42.47701484
67244,CB-5657,Catchbasin,,253 LEXINGTON ST,City,dCB_5780,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.3,,,,,1/1/70,City,3/8/22,MSB,,,119.3000031,1/1/70,,,Aerial Photo,,,63.42316622,,,,,,,,HIGHWAY,Stormwater,5207,-71.1793379,42.46156214
67249,CB-5662,Catchbasin,,272 LEXINGTON ST,City,dCB_5785,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.9,,,,,1/1/70,City,3/8/22,MSB,,,133.8999939,1/1/70,,,Aerial Photo,,,-88.09735792,,,,,,,,HIGHWAY,Stormwater,6248,-71.17993344,42.46039791
67113,CB-5562,Catchbasin,,6 FORTUNE RD,City,dCB_5686,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.4,4,165.4,0,4,1/1/70,City,3/8/22,MSB,,,169.3999939,1/1/70,,,Aerial Photo,,,-83.99829051,,,,,,,,HIGHWAY,Stormwater,5630,-71.1918963,42.46216225
