lon,lat,owner,watershed,type,form
-71.09896213500,42.41390873890,,IN-2042,STORM WATER INLET,
-71.09900716100,42.41398587310,,IN-2041,STORM WATER INLET,
-71.09839204030,42.41482402810,,IN-2040,STORM WATER INLET,
-71.09847051880,42.41485147130,,IN-2039,STORM WATER INLET,
-71.10596255490,42.41285360090,,IN-3968,STORM WATER INLET,
-71.09284957360,42.43326023310,,IN-1463,STORM WATER INLET,
-71.09291121030,42.43334762440,,IN-1464,STORM WATER INLET,
-71.12628690710,42.41048661310,,IN-2493,STORM WATER INLET,
-71.12637352380,42.41050371240,,IN-2492,STORM WATER INLET,
-71.12617716720,42.41065221730,,IN-2491,STORM WATER INLET,
-71.12572880730,42.41132611420,,IN-2504,STORM WATER INLET,
-71.12580951210,42.41135347580,,IN-2503,STORM WATER INLET,
-71.12536189850,42.41188027490,,IN-2477,STORM WATER INLET,
-71.12542649330,42.41193588360,,IN-2476,STORM WATER INLET,
-71.12517035110,42.41216993720,,IN-2511,STORM WATER INLET,
-71.12485397270,42.41264656870,,IN-2513,STORM WATER INLET,
-71.12490668270,42.41271481750,,IN-2514,STORM WATER INLET,
-71.12450105520,42.41317480540,,IN-2509,STORM WATER INLET,
-71.12456157120,42.41323300840,,IN-2508,STORM WATER INLET,
-71.10811335090,42.39931344750,,IN-4160,STORM WATER INLET,
-71.10815584260,42.39938745020,,IN-4159,STORM WATER INLET,
-71.10741752030,42.39949451960,,IN-4181,STORM WATER INLET,
-71.10689313980,42.39963162650,,IN-4179,STORM WATER INLET,
-71.10696807210,42.39969248020,,IN-4180,STORM WATER INLET,
-71.10568904930,42.39994072070,,IN-4265,STORM WATER INLET,
-71.10572961130,42.40001037660,,IN-4266,STORM WATER INLET,
-71.10455474910,42.40020485720,,IN-4260,STORM WATER INLET,
-71.10456408600,42.40022568930,,IN-4259,STORM WATER INLET,
-71.10462267290,42.40029961000,,IN-4202,STORM WATER INLET,
-71.12879657790,42.43524483300,,IN-526,STORM WATER INLET,
-71.10760028790,42.40462331350,,IN-4241,STORM WATER INLET,
-71.10677412760,42.40472226930,,IN-4150,STORM WATER INLET,
-71.10680720210,42.40478280000,,IN-4149,STORM WATER INLET,
-71.10620770330,42.40485133670,,IN-4147,STORM WATER INLET,
-71.10620987990,42.40491846260,,IN-4148,STORM WATER INLET,
-71.10404419980,42.40534071450,,IN-4151,STORM WATER INLET,
-71.10403989010,42.40540873010,,IN-4152,STORM WATER INLET,
-71.10320796820,42.40552678680,,IN-4407,STORM WATER INLET,
-71.10323270520,42.40559097730,,IN-4010,STORM WATER INLET,
-71.10214476950,42.40576657150,,IN-4409,STORM WATER INLET,
-71.10216005710,42.40583206920,,IN-4408,STORM WATER INLET,
-71.10804339370,42.39928053270,,IN-4161,STORM WATER INLET,
-71.10793905780,42.39930719470,,IN-4162,STORM WATER INLET,
-71.10853817690,42.40034416580,,IN-4158,STORM WATER INLET,
-71.10843731780,42.40037013880,,IN-4157,STORM WATER INLET,
-71.10665297540,42.39912411490,,IN-4183,STORM WATER INLET,
-71.10667529670,42.39917416120,,IN-4182,STORM WATER INLET,
-71.10209658830,42.42012376520,,IN-1676,STORM WATER INLET,
-71.12847830780,42.41916511800,,IN-1012,STORM WATER INLET,
-71.12838382390,42.41916613560,,IN-1011,STORM WATER INLET,
-71.12859615710,42.41989599710,,IN-955,STORM WATER INLET,
-71.12870661650,42.42050530700,,IN-954,STORM WATER INLET,
-71.12862401010,42.42051067710,,IN-953,STORM WATER INLET,
-71.12890585800,42.42160331500,,IN-629,STORM WATER INLET,
-71.12883111860,42.42163299910,,IN-630,STORM WATER INLET,
-71.12900745610,42.42230815250,,IN-627,STORM WATER INLET,
-71.12907289680,42.42272506500,,IN-626,STORM WATER INLET,
-71.12900742730,42.42294767260,,IN-723,STORM WATER INLET,
-71.12901845640,42.42322988540,,IN-625,STORM WATER INLET,
-71.12911818070,42.42388547340,,IN-624,STORM WATER INLET,
-71.12904481540,42.42388970510,,IN-623,STORM WATER INLET,
-71.12897239310,42.42545503420,,IN-196,STORM WATER INLET,
-71.12905844960,42.42546085630,,IN-195,STORM WATER INLET,
-71.12894238580,42.42577913300,,IN-426,STORM WATER INLET,
-71.12902786840,42.42578154660,,IN-194,STORM WATER INLET,
-71.12894470130,42.42231284150,,IN-628,STORM WATER INLET,
-71.09598774670,42.42191965490,,IN-1638,STORM WATER INLET,
-71.09606882690,42.42192035180,,IN-1637,STORM WATER INLET,
-71.09607893290,42.42323704690,,IN-1641,STORM WATER INLET,
-71.09608403060,42.42389935030,,IN-1162,STORM WATER INLET,
-71.09600300170,42.42389992760,,IN-1160,STORM WATER INLET,
-71.09600582420,42.42412768450,,IN-1159,STORM WATER INLET,
-71.09608617650,42.42413015950,,IN-1161,STORM WATER INLET,
-71.09600718120,42.42449382210,,IN-1163,STORM WATER INLET,
-71.09608100990,42.42450178840,,IN-1164,STORM WATER INLET,
-71.08632739680,42.41639803100,,IN-2004,STORM WATER INLET,
-71.08640377220,42.41645077720,,IN-2005,STORM WATER INLET,
-71.08614535970,42.41696466020,,IN-2006,STORM WATER INLET,
-71.08623397730,42.41698226670,,IN-2007,STORM WATER INLET,
-71.09631443860,42.43708539080,,IN-1302,STORM WATER INLET,
-71.09638811020,42.43734380480,,IN-1262,STORM WATER INLET,
-71.09629163680,42.43744353360,,IN-1150,STORM WATER INLET,
-71.09784732760,42.43411103430,,IN-1299,STORM WATER INLET,
-71.09776581280,42.43426894270,,IN-1298,STORM WATER INLET,
-71.09782521320,42.43427393610,,IN-1297,STORM WATER INLET,
-71.09730164810,42.43611297230,,IN-1294,STORM WATER INLET,
-71.09739303400,42.43612082630,,IN-1293,STORM WATER INLET,
-71.09737511120,42.43644577630,,IN-1295,STORM WATER INLET,
-71.09726671830,42.43653113190,,IN-1296,STORM WATER INLET,
-71.14355607660,42.43147966600,,IN-600,STORM WATER INLET,
-71.14342447220,42.43150005570,,IN-601,STORM WATER INLET,
-71.14373071790,42.43179459730,,IN-602,STORM WATER INLET,
-71.14359995200,42.43183662960,,IN-603,STORM WATER INLET,
-71.10117386760,42.43722561630,,IN-1144,STORM WATER INLET,
