X,Y,OBJECTID,Subtype,FacilityID,InstallDat,LifecycleS,WaterType,PlanNum,Owner,Comments,AccessDiam,AccessMate,AccesType,Station,RimElevati,FieldBook,Invert,Plan1,Plan2,Plan3,FeatureID,DupeNum,Source,OrthoUpdated,GlobalID,created_user,created_date,last_edited_user,last_edited_date,Dewb_Edited
-71.091880823134,42.3821168728339,"1",,SW-CB-01479,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{128E3F73-64E7-4975-9DD1-68CE9CDB69B0},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.102142668122,42.3937945037322,"2","0",SW-CB-00400,1981/01/01 00:00:00,Proposed,Storm,TB-067,Somerv, ,"9999",Unk,Unk,"9999",9999, ,74.41,TB-067,,,CB-SD-401,"1",Original City Data,Yes,{468F0B52-B4F7-4C09-A52F-CDEE512D995B},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0884247733267,42.3986589574872,"3",,SW-CB-01975,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{E9EF37F4-FAF9-41CC-B368-622EE1CB8DA9},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1123389093481,42.3921189263498,"4",,SW-CB-02782,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{C35CF596-609D-4694-BD9C-F8C1EC6DD4D3},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1159477426047,42.398330452189,"5",,SW-CB-03482,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{9DCA9DED-9748-43F5-A62B-B25201B15E1F},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0911459909398,42.3854151969147,"6",,SW-CB-01267,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{9D871818-4055-449C-946E-B8E3D3F6DC34},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0952351523261,42.3804513559167,"7",,SW-CB-00770,,,,,,,,,,,,,,,,,,,Stantec,Yes,{C5E5C406-B8E9-4AC3-97E7-A9AE74AEE85F},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1156402971098,42.3957035500678,"8","0",SW-CB-00442,9999/09/09 00:00:00,Active,Storm,TB-026,Somerv, ,"9999",Unk,Unk,"9999",9999, ,9999,TB-026,,,CB-SD-443,"1",Original City Data,Yes,{C42AE7CB-96E5-41EA-816E-F98AAF68D5BC},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0967014824306,42.3848344324981,"9",,SW-CB-02631,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{A15A32C7-9BF6-48C8-8020-015F8EF1B200},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1163448648107,42.3927678251487,"10",,SW-CB-02882,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{C9406A14-6D88-41DC-87F8-B44FA31AEE7B},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0881169930284,42.378660393384,"11","1",SW-CB-00567,1957/03/01 00:00:00,Proposed,Storm,NA,Somerv,DATA FROM SOMERVILLE HOUSING AUTHORITY,"9999",Unk,Unk,"9999",9999, ,9999,NA,,,CB-SD-568,"1",Original City Data,Yes,{3FB1A70F-EADD-425B-9214-5D8B9FD2570D},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1174245754882,42.3964018924697,"12","0",SW-CB-00434,9999/09/09 00:00:00,Active,Storm,TB-025,Somerv, ,"9999",Unk,Unk,"9999",9999, ,9999,TB-025,,,CB-SD-435,"1",Original City Data,Yes,{79B481DA-A78F-476F-9411-A3D492659D08},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0971348947273,42.3880181917836,"13","1",SW-CB-00130,1927/01/01 00:00:00,Active,Storm,MM-6,Somerv, ,"0", , ,"9999",9999, ,9999,MM-06,,,CB-SD-131,"1",Original City Data,Not Visible,{E6E0EB95-75FA-45B6-85F9-A7665463E10E},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.10906522193,42.385009511497,"14",,SW-CB-00951,,,,,,,,,,,,,,,,,,,Stantec,Yes,{F8BBE394-506F-4665-B9F1-1657DFD54975},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0928514751791,42.3753827994468,"15",,SW-CB-02334,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{FEB82082-C195-4CFC-B6F8-05E37674C5EC},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1100321496947,42.3920012208121,"16","0",SW-CB-00468,9999/09/09 00:00:00,Active,Storm,TB-044,Somerv, ,"9999",Unk,Unk,"9999",65.79, ,62.09,TB-044,,,CB-SD-469,"1",Original City Data,Yes,{D5047B1D-2CB4-4A08-BD97-D72572BB6A00},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0877100605673,42.3856937600142,"17",,SW-CB-01244,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{C0D49F74-A089-4C98-9530-5DF0BFBD66F3},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0838112112269,42.390715696302,"18",,SW-CB-02096,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{D3AE2E75-6502-40BD-A9F4-DCFC74271A79},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0810411346586,42.3863365533133,"19",,SW-CB-01379,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{B31E5F1E-5D98-4266-8CA5-1660CD2BF0B2},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0911381014137,42.3837387222173,"20",,SW-CB-01266,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{DCD867BC-3A25-4A61-9D4E-4949A8E542A3},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1179986258722,42.3890736099625,"21",,SW-CB-03566,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{FC95C7A0-3ED1-4EED-8EBC-A26C6AA4BFC3},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1075114361068,42.3907493589016,"22","0",SW-CB-00479,9999/09/09 00:00:00,Active,Storm,TB-045,Somerv, ,"9999",Unk,Unk,"9999",9999, ,9999,TB-045,,,CB-SD-480,"1",Original City Data,Yes,{D8E8356F-A38A-4ED4-BC13-37877EE16691},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1270173603519,42.4013779789039,"23","0",SW-CB-00502,1981/02/02 00:00:00,Proposed,Storm,TB-069,Somerv, ,"9999",Unk,Unk,"9999",9999, ,9999,TB-069,,,CB-SD-503,"1",Original City Data,Yes,{AABE2163-7E73-48F9-BA03-FEFA789042F7},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1149561174434,42.3944760897171,"24",,SW-CB-03468,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{6DE9E7C9-FCD5-454D-B0E5-4D4DDF0257B1},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0896051306388,42.3798277181649,"25",,SW-CB-02252,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{C10FCCB9-2498-4CCA-BE6F-0DDEFC132CAC},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0905837318671,42.3952468380621,"26",,SW-CB-01919,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{502B52B2-181E-4758-A66F-66CA38C5DAA2},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
