lon,lat,owner,watershed,type,form
-78.8557935029658,35.86837478141831,CITY-ROW,Northeast Creek,COMBO INLET,BOX
-78.85527952927114,35.86931905493631,CITY-ROW,Northeast Creek,COMBO INLET,UNKNOWN
-78.85545988198484,35.86970657181072,CITY-ROW,Northeast Creek,COMBO INLET,UNKNOWN
-78.85552143160615,35.86965799148481,CITY-ROW,Northeast Creek,COMBO INLET,UNKNOWN
-78.92728946942344,36.00074054709378,CITY-ROW,Sandy Creek,COMBO INLET,BOX
-78.92739243559616,36.00075159666139,CITY-ROW,Sandy Creek,COMBO INLET,BOX
-78.92732788739424,36.000575772494074,CITY-ROW,Sandy Creek,COMBO INLET,BOX
-78.92743326069612,36.00057899427563,CITY-ROW,Sandy Creek,COMBO INLET,BOX
-78.88722497628011,35.98832182834807,CITY-ROW,Ellerbe Creek,COMBO INLET,BOX
-78.88723342234383,35.98832496783581,CITY-ROW,Ellerbe Creek,COMBO INLET,BOX
-78.88706500798965,35.98826234326362,CITY-ROW,Ellerbe Creek,COMBO INLET,BOX
-78.94853037166995,36.052875354879866,CITY-ROW,Eno River,COMBO INLET,UNKNOWN
-78.94826847038972,36.05297806543663,CITY-ROW,Eno River,COMBO INLET,UNKNOWN
-78.9483432926429,36.0530422126114,CITY-ROW,Eno River,COMBO INLET,UNKNOWN
-78.94940715855725,36.05366708340996,CITY-ROW,Eno River,COMBO INLET,UNKNOWN
-78.94946173663125,36.05359463951599,CITY-ROW,Eno River,COMBO INLET,UNKNOWN
-78.9501616671458,36.05396926367528,CITY-ROW,Eno River,COMBO INLET,UNKNOWN
-78.95019764235998,36.05389079589679,CITY-ROW,Eno River,COMBO INLET,UNKNOWN
-78.947108348723,36.05389589890694,CITY-ROW,Eno River,COMBO INLET,BOX
-78.9472671607923,36.053817594951994,CITY-ROW,Eno River,COMBO INLET,BOX
-78.94775144135777,36.05348162220382,CITY-ROW,Eno River,COMBO INLET,BOX
-78.94768764685853,36.05341838591554,CITY-ROW,Eno River,COMBO INLET,BOX
-78.94816487576644,36.054625301308896,CITY-ROW,Eno River,COMBO INLET,BOX
-78.94829938640983,36.05482976416423,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95192123583516,36.050331863751154,CITY-ROW,Eno River,COMBO INLET,BOX
-78.9519547767486,36.05024562029615,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95232375834519,36.05037954496313,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95270018023429,36.050518690738,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95281994303723,36.04818596095885,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95310511116757,36.04817315965226,CITY-ROW,Eno River,COMBO INLET,BOX
-78.9531024574338,36.04808305607521,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95370965929739,36.04806570653165,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95427765792846,36.04798460823392,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95151779016444,36.05013254496093,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95089812444465,36.05003752519653,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95081429369698,36.04993612619275,CITY-ROW,Eno River,COMBO INLET,BOX
